"","genre","num_words","num_unique_words","per_unique"
"1","Country",2569402,29894,0.0116346138128638
"2","Electronic",1457936,37592,0.0257843965715916
"3","Folk",389827,26383,0.0676787395434385
"4","Hip-Hop",11003733,157416,0.0143056906233548
"5","Indie",568537,20206,0.0355403430207709
"6","Jazz",1232659,31173,0.0252892324641284
"7","Metal",3769598,90876,0.0241076104136303
"8","Not Available",4693121,117187,0.0249699507001844
"9","Other",1085250,53546,0.0493397834600323
"10","Pop",9398457,127869,0.0136053184049254
"11","R&B",730901,16400,0.0224380593267761
"12","Rock",19553353,181335,0.00927385702083934
